student_id,subject,season,test_date,scale_score,perf_level
200207,ELA,Fall,2024-10-09,696.8,Approaching
200207,ELA,Spring,2025-04-14,755.1,Advanced
200207,Math,Fall,2024-10-17,792.7,Advanced
200207,Math,Spring,2025-04-23,665.6,Approaching
200329,ELA,Fall,2024-10-16,697.4,Approaching
200329,ELA,Spring,2025-04-15,802.9,Advanced
200329,Math,Fall,2024-10-19,750.6,Advanced
200329,Math,Spring,2025-04-23,613.3,Below
200199,ELA,Fall,2024-10-13,669.7,Approaching
200199,ELA,Spring,2025-04-15,684.3,Approaching
200199,Math,Fall,2024-10-21,767.0,Advanced
200199,Math,Spring,2025-04-25,808.3,Advanced
200583,ELA,Fall,2024-10-20,757.7,Advanced
200583,ELA,Spring,2025-04-17,710.6,Proficient
200583,Math,Fall,2024-10-14,641.2,Below
200583,Math,Spring,2025-04-15,738.5,Proficient
200618,ELA,Fall,2024-10-18,731.1,Proficient
200618,ELA,Spring,2025-04-17,692.5,Approaching
200618,Math,Fall,2024-10-16,587.9,Below
200618,Math,Spring,2025-04-16,769.3,Advanced
200369,ELA,Fall,2024-10-12,624.1,Below
200369,ELA,Spring,2025-04-25,787.2,Advanced
200369,Math,Fall,2024-10-21,573.2,Below
200369,Math,Spring,2025-04-24,706.5,Proficient
200562,ELA,Fall,2024-10-08,740.1,Proficient
200562,ELA,Spring,2025-04-23,742.5,Proficient
200562,Math,Fall,2024-10-16,678.0,Approaching
200562,Math,Spring,2025-04-26,687.1,Approaching
200517,ELA,Fall,2024-10-11,652.6,Approaching
200517,ELA,Spring,2025-04-17,799.7,Advanced
200517,Math,Fall,2024-10-08,669.9,Approaching
200517,Math,Spring,2025-04-13,752.0,Advanced
200347,ELA,Fall,2024-10-15,703.5,Proficient
200347,ELA,Spring,2025-04-14,802.1,Advanced
200347,Math,Fall,2024-10-20,746.6,Proficient
200347,Math,Spring,2025-04-25,763.3,Advanced
200159,ELA,Fall,2024-10-14,712.5,Proficient
200159,ELA,Spring,2025-04-21,733.2,Proficient
200159,Math,Fall,2024-10-11,723.2,Proficient
200159,Math,Spring,2025-04-25,725.4,Proficient
200641,ELA,Fall,2024-10-21,699.9,Approaching
200641,ELA,Spring,2025-04-16,601.1,Below
200641,Math,Fall,2024-10-13,724.7,Proficient
200641,Math,Spring,2025-04-20,739.8,Proficient
200310,ELA,Fall,2024-10-15,663.5,Approaching
200310,ELA,Spring,2025-04-24,744.5,Proficient
200310,Math,Fall,2024-10-11,729.8,Proficient
200310,Math,Spring,2025-04-13,849.1,Advanced
200354,ELA,Fall,2024-10-09,584.8,Below
200354,ELA,Spring,2025-04-19,626.9,Below
200354,Math,Fall,2024-10-15,752.7,Advanced
200354,Math,Spring,2025-04-21,700.6,Proficient
200432,ELA,Fall,2024-10-16,681.3,Approaching
200432,ELA,Spring,2025-04-26,610.2,Below
200432,Math,Fall,2024-10-19,744.0,Proficient
200432,Math,Spring,2025-04-19,650.7,Approaching
200689,ELA,Fall,2024-10-18,750.7,Advanced
200689,ELA,Spring,2025-04-21,532.3,Below
200689,Math,Fall,2024-10-21,767.5,Advanced
200689,Math,Spring,2025-04-26,710.0,Proficient
200117,ELA,Fall,2024-10-14,851.7,Advanced
200117,ELA,Spring,2025-04-16,791.9,Advanced
200117,Math,Fall,2024-10-08,663.6,Approaching
200117,Math,Spring,2025-04-26,762.4,Advanced
200028,ELA,Fall,2024-10-14,692.0,Approaching
200028,ELA,Spring,2025-04-21,739.0,Proficient
200028,Math,Fall,2024-10-14,808.0,Advanced
200028,Math,Spring,2025-04-24,777.8,Advanced
200306,ELA,Fall,2024-10-14,853.9,Advanced
200306,ELA,Spring,2025-04-18,685.3,Approaching
200306,Math,Fall,2024-10-13,752.4,Advanced
200306,Math,Spring,2025-04-26,705.0,Proficient
200356,ELA,Fall,2024-10-17,726.1,Proficient
200356,ELA,Spring,2025-04-24,661.3,Approaching
200356,Math,Fall,2024-10-16,677.3,Approaching
200356,Math,Spring,2025-04-13,704.6,Proficient
200651,ELA,Fall,2024-10-20,656.7,Approaching
200651,ELA,Spring,2025-04-24,749.2,Proficient
200651,Math,Fall,2024-10-15,668.9,Approaching
200651,Math,Spring,2025-04-13,704.6,Proficient
200390,ELA,Fall,2024-10-10,654.8,Approaching
200390,ELA,Spring,2025-04-18,691.3,Approaching
200390,Math,Fall,2024-10-16,688.4,Approaching
200390,Math,Spring,2025-04-15,736.0,Proficient
200134,ELA,Fall,2024-10-19,628.4,Below
200134,ELA,Spring,2025-04-21,812.6,Advanced
200134,Math,Fall,2024-10-16,816.0,Advanced
200134,Math,Spring,2025-04-25,835.3,Advanced
200778,ELA,Fall,2024-10-16,632.1,Below
200778,ELA,Spring,2025-04-24,748.0,Proficient
200778,Math,Fall,2024-10-21,825.9,Advanced
200778,Math,Spring,2025-04-22,744.5,Proficient
200360,ELA,Fall,2024-10-11,718.2,Proficient
200360,ELA,Spring,2025-04-14,661.0,Approaching
200360,Math,Fall,2024-10-14,725.7,Proficient
200360,Math,Spring,2025-04-26,795.7,Advanced
200722,ELA,Fall,2024-10-14,732.1,Proficient
200722,ELA,Spring,2025-04-26,679.8,Approaching
200722,Math,Fall,2024-10-19,743.6,Proficient
200722,Math,Spring,2025-04-18,835.9,Advanced
200440,ELA,Fall,2024-10-10,772.0,Advanced
200440,ELA,Spring,2025-04-23,701.9,Proficient
200440,Math,Fall,2024-10-21,712.4,Proficient
200440,Math,Spring,2025-04-21,734.1,Proficient
200366,ELA,Fall,2024-10-09,670.2,Approaching
200366,ELA,Spring,2025-04-25,740.0,Proficient
200366,Math,Fall,2024-10-09,794.8,Advanced
200366,Math,Spring,2025-04-23,678.6,Approaching
200421,ELA,Fall,2024-10-17,754.7,Advanced
200421,ELA,Spring,2025-04-18,669.5,Approaching
200421,Math,Fall,2024-10-19,807.5,Advanced
200421,Math,Spring,2025-04-26,696.1,Approaching
200404,ELA,Fall,2024-10-20,707.4,Proficient
200404,ELA,Spring,2025-04-20,638.2,Below
200404,Math,Fall,2024-10-11,804.1,Advanced
200404,Math,Spring,2025-04-23,617.6,Below
200319,ELA,Fall,2024-10-10,798.5,Advanced
200319,ELA,Spring,2025-04-24,768.9,Advanced
200319,Math,Fall,2024-10-18,644.5,Below
200319,Math,Spring,2025-04-23,658.2,Approaching
200208,ELA,Fall,2024-10-09,709.3,Proficient
200208,ELA,Spring,2025-04-13,721.4,Proficient
200208,Math,Fall,2024-10-17,760.6,Advanced
200208,Math,Spring,2025-04-13,771.8,Advanced
200443,ELA,Fall,2024-10-21,592.7,Below
200443,ELA,Spring,2025-04-15,691.8,Approaching
200443,Math,Fall,2024-10-17,735.5,Proficient
200443,Math,Spring,2025-04-17,582.3,Below
200012,ELA,Fall,2024-10-16,695.3,Approaching
200012,ELA,Spring,2025-04-26,757.0,Advanced
200012,Math,Fall,2024-10-17,686.7,Approaching
200012,Math,Spring,2025-04-26,623.7,Below
200267,ELA,Fall,2024-10-09,657.4,Approaching
200267,ELA,Spring,2025-04-23,738.1,Proficient
200267,Math,Fall,2024-10-14,767.5,Advanced
200267,Math,Spring,2025-04-19,634.4,Below
200462,ELA,Fall,2024-10-08,653.1,Approaching
200462,ELA,Spring,2025-04-23,712.3,Proficient
200462,Math,Fall,2024-10-16,703.0,Proficient
200462,Math,Spring,2025-04-26,780.6,Advanced
200451,ELA,Fall,2024-10-19,724.9,Proficient
200451,ELA,Spring,2025-04-26,731.7,Proficient
200451,Math,Fall,2024-10-14,551.2,Below
200451,Math,Spring,2025-04-17,704.2,Proficient
200799,ELA,Fall,2024-10-08,824.2,Advanced
200799,ELA,Spring,2025-04-18,730.9,Proficient
200799,Math,Fall,2024-10-16,617.9,Below
200799,Math,Spring,2025-04-23,786.8,Advanced
200726,ELA,Fall,2024-10-18,693.0,Approaching
